nombre_instancia,algoritmo,dimension,tiempo_computo,cant_iteraciones
inst_dim10_n5000_clusters_8.txt,weiszfeld,10,2.527,15
inst_dim10_n5000_clusters_8.txt,desc_coord,10,13.112,4
inst_dim10_n5000_clusters_8.txt,desc_grad_armijo,10,1.218,2228
inst_dim15_n5000_clusters_8.txt,weiszfeld,15,5.852,14
inst_dim15_n5000_clusters_8.txt,desc_coord,15,32.286,6
inst_dim15_n5000_clusters_8.txt,desc_grad_armijo,15,0.016,22
inst_dim20_n5000_clusters_8.txt,weiszfeld,20,8.203,14
inst_dim20_n5000_clusters_8.txt,desc_coord,20,36.188,5
inst_dim20_n5000_clusters_8.txt,desc_grad_armijo,20,0.016,11
inst_dim25_n5000_clusters_8.txt,weiszfeld,25,9.653,14
inst_dim25_n5000_clusters_8.txt,desc_coord,25,35.633,4
inst_dim25_n5000_clusters_8.txt,desc_grad_armijo,25,0.019,8
inst_dim30_n5000_clusters_8.txt,weiszfeld,30,10.389,14
inst_dim30_n5000_clusters_8.txt,desc_coord,30,52.668,5
inst_dim30_n5000_clusters_8.txt,desc_grad_armijo,30,0.016,11
inst_dim35_n5000_clusters_8.txt,weiszfeld,35,11.712,15
inst_dim35_n5000_clusters_8.txt,desc_coord,35,61.914,5
inst_dim35_n5000_clusters_8.txt,desc_grad_armijo,35,0.049,13
inst_dim40_n5000_clusters_8.txt,weiszfeld,40,13.541,15
inst_dim40_n5000_clusters_8.txt,desc_coord,40,84.277,6
inst_dim40_n5000_clusters_8.txt,desc_grad_armijo,40,0.047,16
inst_dim45_n5000_clusters_8.txt,weiszfeld,45,14.767,14
inst_dim45_n5000_clusters_8.txt,desc_coord,45,94.727,6
inst_dim45_n5000_clusters_8.txt,desc_grad_armijo,45,0.045,16
inst_dim50_n5000_clusters_8.txt,weiszfeld,50,15.539,14
inst_dim50_n5000_clusters_8.txt,desc_coord,50,89.072,5
inst_dim50_n5000_clusters_8.txt,desc_grad_armijo,50,0.06,16
inst_dim5_n5000_clusters_8.txt,weiszfeld,5,2.045,22
inst_dim5_n5000_clusters_8.txt,desc_coord,5,12.542,8
inst_dim5_n5000_clusters_8.txt,desc_grad_armijo,5,0.011,24
