nombre_instancia,algoritmo,dimension,tiempo_computo,cant_iteraciones
inst_dim10_n5000_lineal.txt,weiszfeld,10,0.874,0
inst_dim10_n5000_lineal.txt,desc_coord,10,170.198,62
inst_dim10_n5000_lineal.txt,desc_grad_armijo,10,0.031,15
inst_dim15_n5000_lineal.txt,weiszfeld,15,1.652,0
inst_dim15_n5000_lineal.txt,desc_coord,15,107.845,26
inst_dim15_n5000_lineal.txt,desc_grad_armijo,15,0.063,23
inst_dim20_n5000_lineal.txt,weiszfeld,20,2.106,0
inst_dim20_n5000_lineal.txt,desc_coord,20,131.586,22
inst_dim20_n5000_lineal.txt,desc_grad_armijo,20,0.094,25
inst_dim25_n5000_lineal.txt,weiszfeld,25,2.89,0
inst_dim25_n5000_lineal.txt,desc_coord,25,202.082,29
inst_dim25_n5000_lineal.txt,desc_grad_armijo,25,0.172,30
inst_dim30_n5000_lineal.txt,weiszfeld,30,3.594,0
inst_dim30_n5000_lineal.txt,desc_coord,30,196.619,24
inst_dim30_n5000_lineal.txt,desc_grad_armijo,30,0.094,12
inst_dim35_n5000_lineal.txt,weiszfeld,35,4.011,0
inst_dim35_n5000_lineal.txt,desc_coord,35,550.476,56
inst_dim35_n5000_lineal.txt,desc_grad_armijo,35,0.156,16
inst_dim40_n5000_lineal.txt,weiszfeld,40,4.56,0
inst_dim40_n5000_lineal.txt,desc_coord,40,795.957,67
inst_dim40_n5000_lineal.txt,desc_grad_armijo,40,0.344,52
inst_dim45_n5000_lineal.txt,weiszfeld,45,5.074,0
inst_dim45_n5000_lineal.txt,desc_coord,45,240.533,19
inst_dim45_n5000_lineal.txt,desc_grad_armijo,45,0.2,16
inst_dim50_n5000_lineal.txt,weiszfeld,50,5.752,0
inst_dim50_n5000_lineal.txt,desc_coord,50,469.211,32
inst_dim50_n5000_lineal.txt,desc_grad_armijo,50,0.21,16
inst_dim5_n5000_lineal.txt,weiszfeld,5,0.761,0
inst_dim5_n5000_lineal.txt,desc_coord,5,33.757,23
inst_dim5_n5000_lineal.txt,desc_grad_armijo,5,0.018,14
