nombre_instancia,algoritmo,dimension,tiempo_computo,cant_iteraciones
inst_dim10_n5000_uniforme.txt,weiszfeld,10,2.425,9
inst_dim10_n5000_uniforme.txt,desc_coord,10,8.621,2
inst_dim10_n5000_uniforme.txt,desc_grad_armijo,10,0.0,13
inst_dim15_n5000_uniforme.txt,weiszfeld,15,4.18,8
inst_dim15_n5000_uniforme.txt,desc_coord,15,13.119,2
inst_dim15_n5000_uniforme.txt,desc_grad_armijo,15,0.016,7
inst_dim20_n5000_uniforme.txt,weiszfeld,20,5.499,7
inst_dim20_n5000_uniforme.txt,desc_coord,20,17.387,2
inst_dim20_n5000_uniforme.txt,desc_grad_armijo,20,0.016,7
inst_dim25_n5000_uniforme.txt,weiszfeld,25,8.957,7
inst_dim25_n5000_uniforme.txt,desc_coord,25,22.366,2
inst_dim25_n5000_uniforme.txt,desc_grad_armijo,25,0.031,9
inst_dim30_n5000_uniforme.txt,weiszfeld,30,10.424,7
inst_dim30_n5000_uniforme.txt,desc_coord,30,26.995,2
inst_dim30_n5000_uniforme.txt,desc_grad_armijo,30,0.031,11
inst_dim35_n5000_uniforme.txt,weiszfeld,35,11.917,6
inst_dim35_n5000_uniforme.txt,desc_coord,35,32.644,2
inst_dim35_n5000_uniforme.txt,desc_grad_armijo,35,0.031,13
inst_dim40_n5000_uniforme.txt,weiszfeld,40,13.316,6
inst_dim40_n5000_uniforme.txt,desc_coord,40,35.825,2
inst_dim40_n5000_uniforme.txt,desc_grad_armijo,40,0.047,14
inst_dim45_n5000_uniforme.txt,weiszfeld,45,14.835,6
inst_dim45_n5000_uniforme.txt,desc_coord,45,42.248,2
inst_dim45_n5000_uniforme.txt,desc_grad_armijo,45,0.048,15
inst_dim50_n5000_uniforme.txt,weiszfeld,50,16.088,6
inst_dim50_n5000_uniforme.txt,desc_coord,50,45.837,2
inst_dim50_n5000_uniforme.txt,desc_grad_armijo,50,0.047,15
inst_dim5_n5000_uniforme.txt,weiszfeld,5,1.899,12
inst_dim5_n5000_uniforme.txt,desc_coord,5,4.223,2
inst_dim5_n5000_uniforme.txt,desc_grad_armijo,5,0.031,45
